Date,Inflation_Rate,Interest_Rate
2015-01-01,0.3,0.5
2015-02-01,0.3,0.5
2015-03-01,0.1,0.5
2015-04-01,0.0,0.5
2015-05-01,-0.1,0.5
2015-06-01,0.0,0.5
2015-07-01,0.1,0.5
2015-08-01,0.0,0.5
2015-09-01,0.1,0.5
2015-10-01,0.2,0.5
2015-11-01,0.2,0.5
2015-12-01,0.2,0.5
2016-01-01,0.3,0.5
2016-02-01,0.3,0.5
2016-03-01,0.5,0.5
2016-04-01,0.3,0.5
2016-05-01,0.3,0.5
2016-06-01,0.5,0.5
2016-07-01,0.6,0.5
2016-08-01,0.6,0.5
2016-09-01,1.0,0.5
2016-10-01,0.9,0.5
2016-11-01,1.2,0.25
2016-12-01,1.6,0.25
2017-01-01,1.8,0.25
2017-02-01,2.3,0.25
2017-03-01,2.3,0.25
2017-04-01,2.7,0.25
2017-05-01,2.9,0.25
2017-06-01,2.6,0.25
2017-07-01,2.6,0.25
2017-08-01,2.9,0.25
2017-09-01,3.0,0.25
2017-10-01,3.0,0.25
2017-11-01,3.1,0.5
2017-12-01,3.0,0.5
2018-01-01,3.0,0.5
2018-02-01,2.7,0.5
2018-03-01,2.5,0.5
2018-04-01,2.5,0.5
2018-05-01,2.4,0.5
2018-06-01,2.4,0.5
2018-07-01,2.5,0.75
2018-08-01,2.5,0.75
2018-09-01,2.4,0.75
2018-10-01,2.4,0.75
2018-11-01,2.3,0.75
2018-12-01,2.1,0.75
2019-01-01,1.8,0.75
2019-02-01,1.9,0.75
2019-03-01,1.9,0.75
2019-04-01,2.1,0.75
2019-05-01,2.0,0.75
2019-06-01,2.0,0.75
2019-07-01,2.1,0.75
2019-08-01,1.7,0.75
2019-09-01,1.7,0.75
2019-10-01,1.5,0.75
2019-11-01,1.5,0.75
2019-12-01,1.3,0.75
2020-01-01,1.3,0.75
2020-02-01,1.7,0.75
2020-03-01,1.5,0.25
2020-04-01,0.8,0.1
2020-05-01,0.5,0.1
2020-06-01,0.6,0.1
2020-07-01,1.0,0.1
2020-08-01,0.2,0.1
2020-09-01,0.5,0.1
2020-10-01,0.7,0.1
2020-11-01,0.3,0.1
2020-12-01,0.6,0.1
2021-01-01,0.7,0.1
2021-02-01,0.4,0.1
2021-03-01,0.7,0.1
2021-04-01,1.5,0.1
2021-05-01,2.1,0.1
2021-06-01,2.5,0.1
2021-07-01,2.0,0.1
2021-08-01,3.2,0.1
2021-09-01,3.1,0.1
2021-10-01,4.2,0.1
2021-11-01,5.1,0.1
2021-12-01,5.4,0.25
2022-01-01,5.5,0.25
2022-02-01,6.2,0.5
2022-03-01,7.0,0.75
2022-04-01,9.0,1.0
2022-05-01,9.1,1.0
2022-06-01,9.4,1.25
2022-07-01,10.1,1.75
2022-08-01,10.1,1.75
2022-09-01,9.9,2.25
2022-10-01,11.1,2.25
2022-11-01,10.7,3.0
2022-12-01,9.2,3.5
2023-01-01,10.1,3.5
2023-02-01,10.4,4.0
2023-03-01,10.4,4.25
2023-04-01,8.7,4.25
2023-05-01,8.7,4.5
2023-06-01,7.9,5.0
2023-07-01,6.8,5.0
2023-08-01,6.8,5.25
2023-09-01,6.7,5.25
2023-10-01,4.6,5.25
2023-11-01,4.6,5.25
2023-12-01,3.9,5.25
2024-01-01,4.0,5.25
2024-02-01,3.4,5.25
2024-03-01,3.2,5.25
2024-04-01,3.2,5.25
2024-05-01,2.3,5.25
2024-06-01,2.0,5.25
2024-07-01,2.2,5.0
2024-08-01,2.2,5.0
2024-09-01,1.7,5.0
2024-10-01,1.7,4.75
2024-11-01,2.6,4.75
2024-12-01,2.5,4.75
